"Step","noble-surf-24 - Test_Mean_Angular","noble-surf-24 - Test_Mean_Angular__MIN","noble-surf-24 - Test_Mean_Angular__MAX"
"903","1.3771923780441284","1.3771923780441284","1.3771923780441284"
"905","1.8925178050994873","1.8925178050994873","1.8925178050994873"
"907","1.9536665678024292","1.9536665678024292","1.9536665678024292"
"909","3.083517074584961","3.083517074584961","3.083517074584961"
"911","1.8210934400558472","1.8210934400558472","1.8210934400558472"
"913","2.669746160507202","2.669746160507202","2.669746160507202"
"915","2.559540271759033","2.559540271759033","2.559540271759033"
"917","2.9264585971832275","2.9264585971832275","2.9264585971832275"
"919","2.437999963760376","2.437999963760376","2.437999963760376"
"921","2.1612398624420166","2.1612398624420166","2.1612398624420166"
"923","1.3258512020111084","1.3258512020111084","1.3258512020111084"
"925","2.3763978481292725","2.3763978481292725","2.3763978481292725"
"927","2.7690927982330322","2.7690927982330322","2.7690927982330322"
"929","2.9827961921691895","2.9827961921691895","2.9827961921691895"
"931","2.7213332653045654","2.7213332653045654","2.7213332653045654"
"933","0.7490485310554504","0.7490485310554504","0.7490485310554504"
"935","2.818774700164795","2.818774700164795","2.818774700164795"
"937","2.7581000328063965","2.7581000328063965","2.7581000328063965"
"939","2.944727897644043","2.944727897644043","2.944727897644043"
"941","2.888179063796997","2.888179063796997","2.888179063796997"
"943","1.576822280883789","1.576822280883789","1.576822280883789"
"945","3.119025468826294","3.119025468826294","3.119025468826294"
"947","3.093139886856079","3.093139886856079","3.093139886856079"
"949","2.839310884475708","2.839310884475708","2.839310884475708"
"951","2.704798698425293","2.704798698425293","2.704798698425293"
"953","0.9799253344535828","0.9799253344535828","0.9799253344535828"
"955","1.5467084646224976","1.5467084646224976","1.5467084646224976"
"957","2.8156073093414307","2.8156073093414307","2.8156073093414307"
"959","1.7013986110687256","1.7013986110687256","1.7013986110687256"
"961","2.4859769344329834","2.4859769344329834","2.4859769344329834"
"963","1.795502781867981","1.795502781867981","1.795502781867981"
"965","3.073852777481079","3.073852777481079","3.073852777481079"
"967","1.3750077486038208","1.3750077486038208","1.3750077486038208"
"969","1.8069578409194946","1.8069578409194946","1.8069578409194946"
"971","2.888345718383789","2.888345718383789","2.888345718383789"
"973","1.5399671792984009","1.5399671792984009","1.5399671792984009"
"975","0.8633444905281067","0.8633444905281067","0.8633444905281067"
"977","0.648825466632843","0.648825466632843","0.648825466632843"
"979","1.7315436601638794","1.7315436601638794","1.7315436601638794"
"981","2.0983316898345947","2.0983316898345947","2.0983316898345947"
"983","2.338446617126465","2.338446617126465","2.338446617126465"
"985","3.032132625579834","3.032132625579834","3.032132625579834"
"987","1.6947487592697144","1.6947487592697144","1.6947487592697144"
"989","3.0111207962036133","3.0111207962036133","3.0111207962036133"
"991","1.3612045049667358","1.3612045049667358","1.3612045049667358"
"993","0.9521408677101135","0.9521408677101135","0.9521408677101135"
"995","3.0497915744781494","3.0497915744781494","3.0497915744781494"
"997","2.9152214527130127","2.9152214527130127","2.9152214527130127"
"999","2.5811963081359863","2.5811963081359863","2.5811963081359863"
"1001","1.5415211915969849","1.5415211915969849","1.5415211915969849"
"1003","0.987263560295105","0.987263560295105","0.987263560295105"
"1005","2.640623092651367","2.640623092651367","2.640623092651367"
"1007","2.827893018722534","2.827893018722534","2.827893018722534"
"1009","1.207036018371582","1.207036018371582","1.207036018371582"
"1011","1.6957627534866333","1.6957627534866333","1.6957627534866333"
"1013","2.624812126159668","2.624812126159668","2.624812126159668"
"1015","2.4231317043304443","2.4231317043304443","2.4231317043304443"
"1017","0.6874969005584717","0.6874969005584717","0.6874969005584717"
"1019","2.2448205947875977","2.2448205947875977","2.2448205947875977"
"1021","2.9665660858154297","2.9665660858154297","2.9665660858154297"
"1023","2.591871976852417","2.591871976852417","2.591871976852417"
"1025","2.4643023014068604","2.4643023014068604","2.4643023014068604"
"1027","0.8380166888237","0.8380166888237","0.8380166888237"
"1029","2.221266269683838","2.221266269683838","2.221266269683838"
"1031","1.1433753967285156","1.1433753967285156","1.1433753967285156"
"1033","1.484667181968689","1.484667181968689","1.484667181968689"
"1035","1.6972770690917969","1.6972770690917969","1.6972770690917969"
"1037","2.276557445526123","2.276557445526123","2.276557445526123"
"1039","2.714761972427368","2.714761972427368","2.714761972427368"
"1041","1.621166706085205","1.621166706085205","1.621166706085205"
"1043","2.9718639850616455","2.9718639850616455","2.9718639850616455"
"1045","2.7143402099609375","2.7143402099609375","2.7143402099609375"
"1047","2.9550986289978027","2.9550986289978027","2.9550986289978027"
"1049","2.6397342681884766","2.6397342681884766","2.6397342681884766"
"1051","1.4438496828079224","1.4438496828079224","1.4438496828079224"
"1053","1.8567864894866943","1.8567864894866943","1.8567864894866943"
"1055","2.2216758728027344","2.2216758728027344","2.2216758728027344"
"1057","2.221067190170288","2.221067190170288","2.221067190170288"
"1059","2.458996534347534","2.458996534347534","2.458996534347534"
"1061","0.77779620885849","0.77779620885849","0.77779620885849"
