"Step","snowy-totem-28 - Test_Mean_Angular","snowy-totem-28 - Test_Mean_Angular__MIN","snowy-totem-28 - Test_Mean_Angular__MAX"
"1643","2.480630874633789","2.480630874633789","2.480630874633789"
"1645","1.3530112504959106","1.3530112504959106","1.3530112504959106"
"1647","1.565420150756836","1.565420150756836","1.565420150756836"
"1649","1.8302083015441895","1.8302083015441895","1.8302083015441895"
"1651","2.1788268089294434","2.1788268089294434","2.1788268089294434"
"1653","1.1420097351074219","1.1420097351074219","1.1420097351074219"
"1655","2.385280132293701","2.385280132293701","2.385280132293701"
"1657","1.434093713760376","1.434093713760376","1.434093713760376"
"1659","1.5441559553146362","1.5441559553146362","1.5441559553146362"
"1661","1.455904245376587","1.455904245376587","1.455904245376587"
"1663","2.670341730117798","2.670341730117798","2.670341730117798"
"1665","2.891409158706665","2.891409158706665","2.891409158706665"
"1667","2.2940590381622314","2.2940590381622314","2.2940590381622314"
"1669","1.5225476026535034","1.5225476026535034","1.5225476026535034"
"1671","2.876753330230713","2.876753330230713","2.876753330230713"
"1673","2.7397658824920654","2.7397658824920654","2.7397658824920654"
"1675","1.4460808038711548","1.4460808038711548","1.4460808038711548"
"1677","1.0333425998687744","1.0333425998687744","1.0333425998687744"
"1679","2.666079521179199","2.666079521179199","2.666079521179199"
"1681","2.1929965019226074","2.1929965019226074","2.1929965019226074"
"1683","0.6760247945785522","0.6760247945785522","0.6760247945785522"
"1685","0.3319132924079895","0.3319132924079895","0.3319132924079895"
"1687","1.9564156532287598","1.9564156532287598","1.9564156532287598"
"1689","1.0946354866027832","1.0946354866027832","1.0946354866027832"
"1691","1.7426278591156006","1.7426278591156006","1.7426278591156006"
"1693","1.575348973274231","1.575348973274231","1.575348973274231"
"1695","2.949894428253174","2.949894428253174","2.949894428253174"
"1697","1.6056687831878662","1.6056687831878662","1.6056687831878662"
"1699","2.676058769226074","2.676058769226074","2.676058769226074"
"1701","0.9753835201263428","0.9753835201263428","0.9753835201263428"
"1703","2.6489272117614746","2.6489272117614746","2.6489272117614746"
"1705","2.764730930328369","2.764730930328369","2.764730930328369"
"1707","2.963042736053467","2.963042736053467","2.963042736053467"
"1709","0.847756564617157","0.847756564617157","0.847756564617157"
"1711","2.56929087638855","2.56929087638855","2.56929087638855"
"1713","2.4852538108825684","2.4852538108825684","2.4852538108825684"
"1715","1.2740182876586914","1.2740182876586914","1.2740182876586914"
"1717","2.209749698638916","2.209749698638916","2.209749698638916"
"1719","1.4885492324829102","1.4885492324829102","1.4885492324829102"
"1721","3.134627342224121","3.134627342224121","3.134627342224121"
"1723","3.113417148590088","3.113417148590088","3.113417148590088"
"1725","3.080702781677246","3.080702781677246","3.080702781677246"
"1727","2.3175699710845947","2.3175699710845947","2.3175699710845947"
"1729","2.440981149673462","2.440981149673462","2.440981149673462"
"1731","2.668125629425049","2.668125629425049","2.668125629425049"
"1733","2.967109203338623","2.967109203338623","2.967109203338623"
"1735","0.9920726418495178","0.9920726418495178","0.9920726418495178"
"1737","1.9694443941116333","1.9694443941116333","1.9694443941116333"
"1739","2.966809034347534","2.966809034347534","2.966809034347534"
"1741","2.4681763648986816","2.4681763648986816","2.4681763648986816"
"1743","1.8922175168991089","1.8922175168991089","1.8922175168991089"
"1745","0.3374641239643097","0.3374641239643097","0.3374641239643097"
"1747","1.9217162132263184","1.9217162132263184","1.9217162132263184"
"1749","3.0700647830963135","3.0700647830963135","3.0700647830963135"
"1751","0.7564733624458313","0.7564733624458313","0.7564733624458313"
"1753","1.7290722131729126","1.7290722131729126","1.7290722131729126"
"1755","0.8456588387489319","0.8456588387489319","0.8456588387489319"
"1757","0.8750868439674377","0.8750868439674377","0.8750868439674377"
"1759","0.9207613468170166","0.9207613468170166","0.9207613468170166"
"1761","2.824568271636963","2.824568271636963","2.824568271636963"
"1763","2.724149227142334","2.724149227142334","2.724149227142334"
"1765","1.083168864250183","1.083168864250183","1.083168864250183"
"1767","1.7744287252426147","1.7744287252426147","1.7744287252426147"
"1769","2.992278814315796","2.992278814315796","2.992278814315796"
"1771","1.1388814449310303","1.1388814449310303","1.1388814449310303"
"1773","2.30672550201416","2.30672550201416","2.30672550201416"
"1775","1.4033613204956055","1.4033613204956055","1.4033613204956055"
"1777","0.8274715542793274","0.8274715542793274","0.8274715542793274"
"1779","1.33210027217865","1.33210027217865","1.33210027217865"
"1781","2.159231185913086","2.159231185913086","2.159231185913086"
"1783","2.418992042541504","2.418992042541504","2.418992042541504"
"1785","1.7894670963287354","1.7894670963287354","1.7894670963287354"
"1787","1.7738196849822998","1.7738196849822998","1.7738196849822998"
"1789","1.6175801753997803","1.6175801753997803","1.6175801753997803"
"1791","2.008544445037842","2.008544445037842","2.008544445037842"
"1793","2.2308034896850586","2.2308034896850586","2.2308034896850586"
"1795","2.143839120864868","2.143839120864868","2.143839120864868"
"1797","1.9883387088775635","1.9883387088775635","1.9883387088775635"
"1799","2.186021327972412","2.186021327972412","2.186021327972412"
"1801","2.3051886558532715","2.3051886558532715","2.3051886558532715"
"1803","1.2128716707229614","1.2128716707229614","1.2128716707229614"
"1805","0.39075514674186707","0.39075514674186707","0.39075514674186707"
"1807","1.9841523170471191","1.9841523170471191","1.9841523170471191"
"1809","1.5464718341827393","1.5464718341827393","1.5464718341827393"
"1811","1.7191779613494873","1.7191779613494873","1.7191779613494873"
"1813","2.7154979705810547","2.7154979705810547","2.7154979705810547"
"1815","2.784808397293091","2.784808397293091","2.784808397293091"
"1817","0.47601038217544556","0.47601038217544556","0.47601038217544556"
"1819","1.0491658449172974","1.0491658449172974","1.0491658449172974"
"1821","2.330479621887207","2.330479621887207","2.330479621887207"
"1823","2.8086347579956055","2.8086347579956055","2.8086347579956055"
"1825","1.87955641746521","1.87955641746521","1.87955641746521"
"1827","1.9866511821746826","1.9866511821746826","1.9866511821746826"
"1829","2.8861095905303955","2.8861095905303955","2.8861095905303955"
"1831","2.8503615856170654","2.8503615856170654","2.8503615856170654"
"1833","2.5760598182678223","2.5760598182678223","2.5760598182678223"
"1835","2.376009941101074","2.376009941101074","2.376009941101074"
"1837","1.2127660512924194","1.2127660512924194","1.2127660512924194"
"1839","1.2313166856765747","1.2313166856765747","1.2313166856765747"
"1841","2.022169828414917","2.022169828414917","2.022169828414917"
"1843","0.4388197064399719","0.4388197064399719","0.4388197064399719"
"1845","0.8560498952865601","0.8560498952865601","0.8560498952865601"
"1847","1.440774917602539","1.440774917602539","1.440774917602539"
"1849","1.3719300031661987","1.3719300031661987","1.3719300031661987"
"1851","1.9785404205322266","1.9785404205322266","1.9785404205322266"
"1853","1.515405535697937","1.515405535697937","1.515405535697937"
"1855","2.8317482471466064","2.8317482471466064","2.8317482471466064"
"1857","1.3201805353164673","1.3201805353164673","1.3201805353164673"
"1859","2.56036639213562","2.56036639213562","2.56036639213562"
"1861","0.6974645853042603","0.6974645853042603","0.6974645853042603"
"1863","1.3698368072509766","1.3698368072509766","1.3698368072509766"
"1865","0.476392924785614","0.476392924785614","0.476392924785614"
"1867","0.48384150862693787","0.48384150862693787","0.48384150862693787"
"1869","2.9397008419036865","2.9397008419036865","2.9397008419036865"
"1871","1.1192834377288818","1.1192834377288818","1.1192834377288818"
"1873","1.3913381099700928","1.3913381099700928","1.3913381099700928"
"1875","1.105224609375","1.105224609375","1.105224609375"
"1877","1.656550645828247","1.656550645828247","1.656550645828247"
"1879","1.2277472019195557","1.2277472019195557","1.2277472019195557"
"1881","1.4538429975509644","1.4538429975509644","1.4538429975509644"
"1883","1.018221139907837","1.018221139907837","1.018221139907837"
