"Step","genial-sweep-15 - Train_Mean_Angular","genial-sweep-15 - Train_Mean_Angular__MIN","genial-sweep-15 - Train_Mean_Angular__MAX","hopeful-sweep-14 - Train_Mean_Angular","hopeful-sweep-14 - Train_Mean_Angular__MIN","hopeful-sweep-14 - Train_Mean_Angular__MAX","deep-sweep-13 - Train_Mean_Angular","deep-sweep-13 - Train_Mean_Angular__MIN","deep-sweep-13 - Train_Mean_Angular__MAX","gallant-sweep-12 - Train_Mean_Angular","gallant-sweep-12 - Train_Mean_Angular__MIN","gallant-sweep-12 - Train_Mean_Angular__MAX","visionary-sweep-11 - Train_Mean_Angular","visionary-sweep-11 - Train_Mean_Angular__MIN","visionary-sweep-11 - Train_Mean_Angular__MAX","resilient-sweep-10 - Train_Mean_Angular","resilient-sweep-10 - Train_Mean_Angular__MIN","resilient-sweep-10 - Train_Mean_Angular__MAX","fragrant-sweep-9 - Train_Mean_Angular","fragrant-sweep-9 - Train_Mean_Angular__MIN","fragrant-sweep-9 - Train_Mean_Angular__MAX","young-sweep-8 - Train_Mean_Angular","young-sweep-8 - Train_Mean_Angular__MIN","young-sweep-8 - Train_Mean_Angular__MAX","fine-sweep-6 - Train_Mean_Angular","fine-sweep-6 - Train_Mean_Angular__MIN","fine-sweep-6 - Train_Mean_Angular__MAX","vivid-sweep-5 - Train_Mean_Angular","vivid-sweep-5 - Train_Mean_Angular__MIN","vivid-sweep-5 - Train_Mean_Angular__MAX"
"33","2.0528106689453125","2.0528106689453125","2.0528106689453125","1.8922173976898193","1.8922173976898193","1.8922173976898193","2.165562152862549","2.165562152862549","2.165562152862549","2.2835326194763184","2.2835326194763184","2.2835326194763184","1.3773053884506226","1.3773053884506226","1.3773053884506226","2.1200320720672607","2.1200320720672607","2.1200320720672607","2.206364631652832","2.206364631652832","2.206364631652832","2.2183797359466553","2.2183797359466553","2.2183797359466553","2.3586151599884033","2.3586151599884033","2.3586151599884033","2.5162205696105957","2.5162205696105957","2.5162205696105957"
"36","2.1763010025024414","2.1763010025024414","2.1763010025024414","2.279048442840576","2.279048442840576","2.279048442840576","2.1429080963134766","2.1429080963134766","2.1429080963134766","2.1411798000335693","2.1411798000335693","2.1411798000335693","2.176528215408325","2.176528215408325","2.176528215408325","2.1178736686706543","2.1178736686706543","2.1178736686706543","2.0385522842407227","2.0385522842407227","2.0385522842407227","2.1358721256256104","2.1358721256256104","2.1358721256256104","2.212977886199951","2.212977886199951","2.212977886199951","2.4285123348236084","2.4285123348236084","2.4285123348236084"
"39","2.6434922218322754","2.6434922218322754","2.6434922218322754","2.3886587619781494","2.3886587619781494","2.3886587619781494","2.1617839336395264","2.1617839336395264","2.1617839336395264","2.0780282020568848","2.0780282020568848","2.0780282020568848","1.9575920104980469","1.9575920104980469","1.9575920104980469","2.125209331512451","2.125209331512451","2.125209331512451","2.1900322437286377","2.1900322437286377","2.1900322437286377","2.3088417053222656","2.3088417053222656","2.3088417053222656","1.9832099676132202","1.9832099676132202","1.9832099676132202","2.493227243423462","2.493227243423462","2.493227243423462"
"42","2.3735899925231934","2.3735899925231934","2.3735899925231934","2.3287978172302246","2.3287978172302246","2.3287978172302246","1.9779298305511475","1.9779298305511475","1.9779298305511475","2.01789927482605","2.01789927482605","2.01789927482605","2.2091519832611084","2.2091519832611084","2.2091519832611084","2.1831932067871094","2.1831932067871094","2.1831932067871094","2.470733404159546","2.470733404159546","2.470733404159546","2.1152729988098145","2.1152729988098145","2.1152729988098145","2.3680529594421387","2.3680529594421387","2.3680529594421387","2.2639360427856445","2.2639360427856445","2.2639360427856445"
"45","2.4298095703125","2.4298095703125","2.4298095703125","2.4562020301818848","2.4562020301818848","2.4562020301818848","2.2931251525878906","2.2931251525878906","2.2931251525878906","2.2240638732910156","2.2240638732910156","2.2240638732910156","2.29793381690979","2.29793381690979","2.29793381690979","2.072443723678589","2.072443723678589","2.072443723678589","2.5423827171325684","2.5423827171325684","2.5423827171325684","2.260343074798584","2.260343074798584","2.260343074798584","2.4115095138549805","2.4115095138549805","2.4115095138549805","2.127671480178833","2.127671480178833","2.127671480178833"
"48","2.2747578620910645","2.2747578620910645","2.2747578620910645","2.0053253173828125","2.0053253173828125","2.0053253173828125","2.0892043113708496","2.0892043113708496","2.0892043113708496","2.239875555038452","2.239875555038452","2.239875555038452","2.191728115081787","2.191728115081787","2.191728115081787","2.057178258895874","2.057178258895874","2.057178258895874","2.269533634185791","2.269533634185791","2.269533634185791","2.4072484970092773","2.4072484970092773","2.4072484970092773","2.376009941101074","2.376009941101074","2.376009941101074","2.3700428009033203","2.3700428009033203","2.3700428009033203"
"51","2.370671272277832","2.370671272277832","2.370671272277832","2.157136917114258","2.157136917114258","2.157136917114258","2.1007230281829834","2.1007230281829834","2.1007230281829834","2.1228742599487305","2.1228742599487305","2.1228742599487305","2.2410378456115723","2.2410378456115723","2.2410378456115723","2.0387353897094727","2.0387353897094727","2.0387353897094727","2.137726306915283","2.137726306915283","2.137726306915283","2.4461827278137207","2.4461827278137207","2.4461827278137207","2.37907075881958","2.37907075881958","2.37907075881958","2.0958285331726074","2.0958285331726074","2.0958285331726074"
"54","1.95029616355896","1.95029616355896","1.95029616355896","2.2939510345458984","2.2939510345458984","2.2939510345458984","2.225149154663086","2.225149154663086","2.225149154663086","2.184725761413574","2.184725761413574","2.184725761413574","2.6070261001586914","2.6070261001586914","2.6070261001586914","2.1215858459472656","2.1215858459472656","2.1215858459472656","1.9542503356933594","1.9542503356933594","1.9542503356933594","1.9985976219177246","1.9985976219177246","1.9985976219177246","2.0075364112854004","2.0075364112854004","2.0075364112854004","2.030989646911621","2.030989646911621","2.030989646911621"
"57","2.1756069660186768","2.1756069660186768","2.1756069660186768","2.4458611011505127","2.4458611011505127","2.4458611011505127","2.159705877304077","2.159705877304077","2.159705877304077","2.120086669921875","2.120086669921875","2.120086669921875","2.033112049102783","2.033112049102783","2.033112049102783","2.348677396774292","2.348677396774292","2.348677396774292","2.1268467903137207","2.1268467903137207","2.1268467903137207","1.9754436016082764","1.9754436016082764","1.9754436016082764","1.9594340324401855","1.9594340324401855","1.9594340324401855","2.018826484680176","2.018826484680176","2.018826484680176"
"60","1.8608733415603638","1.8608733415603638","1.8608733415603638","1.9968372583389282","1.9968372583389282","1.9968372583389282","2.296520233154297","2.296520233154297","2.296520233154297","2.305694103240967","2.305694103240967","2.305694103240967","1.8967022895812988","1.8967022895812988","1.8967022895812988","2.1640429496765137","2.1640429496765137","2.1640429496765137","2.443772315979004","2.443772315979004","2.443772315979004","2.091808319091797","2.091808319091797","2.091808319091797","1.9444339275360107","1.9444339275360107","1.9444339275360107","2.437962532043457","2.437962532043457","2.437962532043457"
