"Step","quiet-durian-31 - Test_Mean_Angular_Distance_EPNP","quiet-durian-31 - Test_Mean_Angular_Distance_EPNP__MIN","quiet-durian-31 - Test_Mean_Angular_Distance_EPNP__MAX","quiet-durian-31 - Test_Mean_Angular_Distance_ITERATIVE","quiet-durian-31 - Test_Mean_Angular_Distance_ITERATIVE__MIN","quiet-durian-31 - Test_Mean_Angular_Distance_ITERATIVE__MAX","quiet-durian-31 - Test_Mean_Angular_Distance_SQPNP","quiet-durian-31 - Test_Mean_Angular_Distance_SQPNP__MIN","quiet-durian-31 - Test_Mean_Angular_Distance_SQPNP__MAX","quiet-durian-31 - Test_Mean_Angular_Distance_IPPE","quiet-durian-31 - Test_Mean_Angular_Distance_IPPE__MIN","quiet-durian-31 - Test_Mean_Angular_Distance_IPPE__MAX","quiet-durian-31 - Test_Mean_Angular_Distance_P3P","quiet-durian-31 - Test_Mean_Angular_Distance_P3P__MIN","quiet-durian-31 - Test_Mean_Angular_Distance_P3P__MAX"
"1789","","","","5.835932344140929","5.835932344140929","5.835932344140929","","","","","","","","",""
"1790","108.04339597450016","108.04339597450016","108.04339597450016","","","","","","","","","","","",""
"1791","","","","","","","","","","","","","93.99804390785805","93.99804390785805","93.99804390785805"
"1795","","","","","","","","","","7.475702606871778","7.475702606871778","7.475702606871778","","",""
"1796","","","","","","","92.95362317511457","92.95362317511457","92.95362317511457","","","","","",""
"1798","","","","61.142092891444534","61.142092891444534","61.142092891444534","","","","","","","","",""
"1799","152.65007964213856","152.65007964213856","152.65007964213856","","","","","","","","","","","",""
"1800","","","","","","","","","","","","","93.88102788948241","93.88102788948241","93.88102788948241"
"1804","","","","","","","","","","12.928022977958847","12.928022977958847","12.928022977958847","","",""
"1805","","","","","","","71.85631900026651","71.85631900026651","71.85631900026651","","","","","",""
"1807","","","","46.84555692512686","46.84555692512686","46.84555692512686","","","","","","","","",""
"1808","54.1537496477513","54.1537496477513","54.1537496477513","","","","","","","","","","","",""
"1809","","","","","","","","","","","","","112.59736732225359","112.59736732225359","112.59736732225359"
"1813","","","","","","","","","","4.359613745005163","4.359613745005163","4.359613745005163","","",""
"1814","","","","","","","75.47978644842588","75.47978644842588","75.47978644842588","","","","","",""
"1816","","","","137.54821343214365","137.54821343214365","137.54821343214365","","","","","","","","",""
"1817","81.93226628883707","81.93226628883707","81.93226628883707","","","","","","","","","","","",""
"1818","","","","","","","","","","","","","63.63686742061283","63.63686742061283","63.63686742061283"
"1822","","","","","","","","","","15.94291805157124","15.94291805157124","15.94291805157124","","",""
"1823","","","","","","","95.54116033282222","95.54116033282222","95.54116033282222","","","","","",""
"1825","","","","169.8563685986693","169.8563685986693","169.8563685986693","","","","","","","","",""
"1826","128.08164270724401","128.08164270724401","128.08164270724401","","","","","","","","","","","",""
"1827","","","","","","","","","","","","","131.92741490405257","131.92741490405257","131.92741490405257"
"1831","","","","","","","","","","12.172448930801636","12.172448930801636","12.172448930801636","","",""
"1832","","","","","","","80.88978470520352","80.88978470520352","80.88978470520352","","","","","",""
"1834","","","","165.98913414461964","165.98913414461964","165.98913414461964","","","","","","","","",""
"1835","125.30500151367345","125.30500151367345","125.30500151367345","","","","","","","","","","","",""
"1836","","","","","","","","","","","","","129.10143500435672","129.10143500435672","129.10143500435672"
"1840","","","","","","","","","","25.84688121644578","25.84688121644578","25.84688121644578","","",""
"1841","","","","","","","33.35574710900511","33.35574710900511","33.35574710900511","","","","","",""
"1843","","","","94.84000133864112","94.84000133864112","94.84000133864112","","","","","","","","",""
"1844","30.95497784918976","30.95497784918976","30.95497784918976","","","","","","","","","","","",""
"1845","","","","","","","","","","","","","48.14468387525852","48.14468387525852","48.14468387525852"
"1849","","","","","","","","","","59.765986089806404","59.765986089806404","59.765986089806404","","",""
"1850","","","","","","","69.41798995461761","69.41798995461761","69.41798995461761","","","","","",""
"1852","","","","53.928354937887065","53.928354937887065","53.928354937887065","","","","","","","","",""
"1853","93.23765815830801","93.23765815830801","93.23765815830801","","","","","","","","","","","",""
"1854","","","","","","","","","","","","","121.61331505128175","121.61331505128175","121.61331505128175"
"1858","","","","","","","","","","31.424163785494926","31.424163785494926","31.424163785494926","","",""
