"Step","zany-disco-38 - Test_Mean_Angular_Distance_EPNP","zany-disco-38 - Test_Mean_Angular_Distance_EPNP__MIN","zany-disco-38 - Test_Mean_Angular_Distance_EPNP__MAX","zany-disco-38 - Test_Mean_Angular_Distance_ITERATIVE","zany-disco-38 - Test_Mean_Angular_Distance_ITERATIVE__MIN","zany-disco-38 - Test_Mean_Angular_Distance_ITERATIVE__MAX","zany-disco-38 - Test_Mean_Angular_Distance_SQPNP","zany-disco-38 - Test_Mean_Angular_Distance_SQPNP__MIN","zany-disco-38 - Test_Mean_Angular_Distance_SQPNP__MAX","zany-disco-38 - Test_Mean_Angular_Distance_P3P","zany-disco-38 - Test_Mean_Angular_Distance_P3P__MIN","zany-disco-38 - Test_Mean_Angular_Distance_P3P__MAX","zany-disco-38 - Test_Mean_Angular_Distance_AP3P","zany-disco-38 - Test_Mean_Angular_Distance_AP3P__MIN","zany-disco-38 - Test_Mean_Angular_Distance_AP3P__MAX"
"1790","160.60816722832806","160.60816722832806","160.60816722832806","","","","","","","","","","","",""
"1791","","","","","","","","","","159.48033632475813","159.48033632475813","159.48033632475813","","",""
"1794","","","","","","","","","","","","","159.48036714379867","159.48036714379867","159.48036714379867"
"1796","","","","","","","161.5702524419649","161.5702524419649","161.5702524419649","","","","","",""
"1798","","","","112.4289561523725","112.4289561523725","112.4289561523725","","","","","","","","",""
"1799","52.67173510411331","52.67173510411331","52.67173510411331","","","","","","","","","","","",""
"1800","","","","","","","","","","21.91611018024571","21.91611018024571","21.91611018024571","","",""
"1803","","","","","","","","","","","","","23.80714046908645","23.80714046908645","23.80714046908645"
"1805","","","","","","","3.0339299607556143","3.0339299607556143","3.0339299607556143","","","","","",""
"1807","","","","69.78702100625407","69.78702100625407","69.78702100625407","","","","","","","","",""
"1808","164.9402891542798","164.9402891542798","164.9402891542798","","","","","","","","","","","",""
"1809","","","","","","","","","","48.068029613620666","48.068029613620666","48.068029613620666","","",""
"1812","","","","","","","","","","","","","48.065336035403845","48.065336035403845","48.065336035403845"
"1814","","","","","","","46.30906113979688","46.30906113979688","46.30906113979688","","","","","",""
"1816","","","","49.720952361760794","49.720952361760794","49.720952361760794","","","","","","","","",""
"1817","141.6261953197197","141.6261953197197","141.6261953197197","","","","","","","","","","","",""
"1818","","","","","","","","","","27.8548686308838","27.8548686308838","27.8548686308838","","",""
"1821","","","","","","","","","","","","","27.854856261394048","27.854856261394048","27.854856261394048"
"1823","","","","","","","148.61040591183925","148.61040591183925","148.61040591183925","","","","","",""
"1825","","","","35.71967247462868","35.71967247462868","35.71967247462868","","","","","","","","",""
"1826","146.3189706585115","146.3189706585115","146.3189706585115","","","","","","","","","","","",""
"1827","","","","","","","","","","56.044105222214384","56.044105222214384","56.044105222214384","","",""
"1830","","","","","","","","","","","","","56.04589234427013","56.04589234427013","56.04589234427013"
"1832","","","","","","","147.3130024198727","147.3130024198727","147.3130024198727","","","","","",""
"1834","","","","72.31438561115584","72.31438561115584","72.31438561115584","","","","","","","","",""
"1835","133.0151995059254","133.0151995059254","133.0151995059254","","","","","","","","","","","",""
"1836","","","","","","","","","","31.29028009515679","31.29028009515679","31.29028009515679","","",""
"1839","","","","","","","","","","","","","31.28255355981551","31.28255355981551","31.28255355981551"
"1841","","","","","","","31.944598025528933","31.944598025528933","31.944598025528933","","","","","",""
"1843","","","","25.45167717603391","25.45167717603391","25.45167717603391","","","","","","","","",""
"1844","135.85319780808499","135.85319780808499","135.85319780808499","","","","","","","","","","","",""
"1845","","","","","","","","","","76.17090906437423","76.17090906437423","76.17090906437423","","",""
"1848","","","","","","","","","","","","","75.96789791374603","75.96789791374603","75.96789791374603"
"1850","","","","","","","7.874670482711082","7.874670482711082","7.874670482711082","","","","","",""
"1852","","","","15.463830126208762","15.463830126208762","15.463830126208762","","","","","","","","",""
"1853","143.23312240627155","143.23312240627155","143.23312240627155","","","","","","","","","","","",""
"1854","","","","","","","","","","153.82501789856087","153.82501789856087","153.82501789856087","","",""
"1857","","","","","","","","","","","","","153.82496439291748","153.82496439291748","153.82496439291748"
"1859","","","","","","","150.99943286598634","150.99943286598634","150.99943286598634","","","","","",""
"1861","","","","73.35793565057948","73.35793565057948","73.35793565057948","","","","","","","","",""
"1862","147.1994906735082","147.1994906735082","147.1994906735082","","","","","","","","","","","",""
"1863","","","","","","","","","","24.16081208913448","24.16081208913448","24.16081208913448","","",""
"1866","","","","","","","","","","","","","24.160926928799483","24.160926928799483","24.160926928799483"
"1868","","","","","","","26.90484629456256","26.90484629456256","26.90484629456256","","","","","",""
"1870","","","","144.96664642883684","144.96664642883684","144.96664642883684","","","","","","","","",""
"1871","152.91538867905632","152.91538867905632","152.91538867905632","","","","","","","","","","","",""
"1872","","","","","","","","","","30.12685224496218","30.12685224496218","30.12685224496218","","",""
"1875","","","","","","","","","","","","","30.12686203150409","30.12686203150409","30.12686203150409"
"1877","","","","","","","160.59194111774565","160.59194111774565","160.59194111774565","","","","","",""
"1879","","","","119.2123813017372","119.2123813017372","119.2123813017372","","","","","","","","",""
"1880","6.3288981058591105","6.3288981058591105","6.3288981058591105","","","","","","","","","","","",""
"1881","","","","","","","","","","34.22449955349927","34.22449955349927","34.22449955349927","","",""
"1884","","","","","","","","","","","","","76.28271460441974","76.28271460441974","76.28271460441974"
"1886","","","","","","","13.960960738850105","13.960960738850105","13.960960738850105","","","","","",""
"1888","","","","109.62555358538265","109.62555358538265","109.62555358538265","","","","","","","","",""
"1889","127.80177097585998","127.80177097585998","127.80177097585998","","","","","","","","","","","",""
"1890","","","","","","","","","","143.90115131960897","143.90115131960897","143.90115131960897","","",""
"1893","","","","","","","","","","","","","143.8977443449648","143.8977443449648","143.8977443449648"
"1895","","","","","","","68.31900933930483","68.31900933930483","68.31900933930483","","","","","",""
"1897","","","","1.8543964395766181","1.8543964395766181","1.8543964395766181","","","","","","","","",""
"1898","159.2925316630959","159.2925316630959","159.2925316630959","","","","","","","","","","","",""
"1899","","","","","","","","","","36.63615719262975","36.63615719262975","36.63615719262975","","",""
"1902","","","","","","","","","","","","","36.63616366668231","36.63616366668231","36.63616366668231"
"1904","","","","","","","163.01548286854037","163.01548286854037","163.01548286854037","","","","","",""
"1906","","","","161.51575321210436","161.51575321210436","161.51575321210436","","","","","","","","",""
"1907","169.89749150456424","169.89749150456424","169.89749150456424","","","","","","","","","","","",""
"1908","","","","","","","","","","149.22542705813197","149.22542705813197","149.22542705813197","","",""
"1911","","","","","","","","","","","","","149.22542705708628","149.22542705708628","149.22542705708628"
"1913","","","","","","","177.79948857118544","177.79948857118544","177.79948857118544","","","","","",""
"1915","","","","71.07514222116195","71.07514222116195","71.07514222116195","","","","","","","","",""
"1916","119.15547982133646","119.15547982133646","119.15547982133646","","","","","","","","","","","",""
"1917","","","","","","","","","","26.660404146642918","26.660404146642918","26.660404146642918","","",""
"1920","","","","","","","","","","","","","26.307114529102563","26.307114529102563","26.307114529102563"
"1922","","","","","","","27.7338112547356","27.7338112547356","27.7338112547356","","","","","",""
"1924","","","","73.47900098848382","73.47900098848382","73.47900098848382","","","","","","","","",""
"1925","148.9094793997093","148.9094793997093","148.9094793997093","","","","","","","","","","","",""
"1926","","","","","","","","","","8.726397998319072","8.726397998319072","8.726397998319072","","",""
"1929","","","","","","","","","","","","","8.726361234156599","8.726361234156599","8.726361234156599"
"1931","","","","","","","11.65648761994143","11.65648761994143","11.65648761994143","","","","","",""
"1933","","","","40.549722775466876","40.549722775466876","40.549722775466876","","","","","","","","",""
"1934","40.00621982140021","40.00621982140021","40.00621982140021","","","","","","","","","","","",""
"1935","","","","","","","","","","15.058588365553362","15.058588365553362","15.058588365553362","","",""
"1938","","","","","","","","","","","","","15.063009155779469","15.063009155779469","15.063009155779469"
"1940","","","","","","","24.736896517133403","24.736896517133403","24.736896517133403","","","","","",""
"1942","","","","54.69534138226902","54.69534138226902","54.69534138226902","","","","","","","","",""
"1943","159.47461438571636","159.47461438571636","159.47461438571636","","","","","","","","","","","",""
"1944","","","","","","","","","","47.687450756425875","47.687450756425875","47.687450756425875","","",""
"1947","","","","","","","","","","","","","47.6904428150404","47.6904428150404","47.6904428150404"
"1949","","","","","","","167.3887519460753","167.3887519460753","167.3887519460753","","","","","",""
"1951","","","","79.01268888659817","79.01268888659817","79.01268888659817","","","","","","","","",""
"1952","174.16120902201962","174.16120902201962","174.16120902201962","","","","","","","","","","","",""
"1953","","","","","","","","","","49.05969168689441","49.05969168689441","49.05969168689441","","",""
"1956","","","","","","","","","","","","","49.059665152977516","49.059665152977516","49.059665152977516"
"1958","","","","","","","162.7908345384755","162.7908345384755","162.7908345384755","","","","","",""
"1960","","","","81.32455369353569","81.32455369353569","81.32455369353569","","","","","","","","",""
"1961","163.9522612681613","163.9522612681613","163.9522612681613","","","","","","","","","","","",""
"1962","","","","","","","","","","12.808298824840534","12.808298824840534","12.808298824840534","","",""
"1965","","","","","","","","","","","","","12.808298767919439","12.808298767919439","12.808298767919439"
"1967","","","","","","","173.86283152769963","173.86283152769963","173.86283152769963","","","","","",""
"1969","","","","3.8263871849135","3.8263871849135","3.8263871849135","","","","","","","","",""
"1970","144.55121910466215","144.55121910466215","144.55121910466215","","","","","","","","","","","",""
"1971","","","","","","","","","","42.59055649605136","42.59055649605136","42.59055649605136","","",""
"1974","","","","","","","","","","","","","42.59052858925588","42.59052858925588","42.59052858925588"
